time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates,train/std,train/policy_gradient_loss,train/loss,train/explained_variance,train/learning_rate
209196,45,2.0547975999999997,1669,55,19.15,13.944988065958023,-26.09516497850418,0.021290697,0.2,0.217724609375,1010,0.895289421081543,-0.0323524280654965,6.078502178192139,0.8893167972564697,0.0003
211244,46,2.951924430000001,1708,55,18.29,5.39045156352222,-26.04804089665413,0.02706949,0.2,0.327587890625,1020,0.8929358720779419,-0.026966703246580438,1.4058892726898193,0.9444882869720459,0.0003
213292,47,3.1168500799999994,1748,55,17.83,3.8276748597621917,-25.985220974683763,0.031570584,0.2,0.338671875,1030,0.8898069262504578,-0.022835938863863703,1.3439122438430786,0.9591234922409058,0.0003
215340,48,1.0043037700000004,1787,55,20.74,4.003519389405847,-25.93872200846672,0.023749908,0.2,0.298095703125,1040,0.8880292773246765,-0.015220287143893074,2.1023776531219482,0.9652988314628601,0.0003
217388,49,2.97857147,1826,54,18.62,7.17205001860857,-25.938431453704833,0.019376634,0.2,0.22607421875,1050,0.8892436027526855,-0.02378625678102253,3.8063950538635254,0.9268571734428406,0.0003
219436,50,0.5337427499999999,1864,54,21.14,6.270573734119535,-25.963894695043564,0.018468551,0.2,0.241259765625,1060,0.8896681666374207,-0.023420507743867346,2.200143575668335,0.9444973468780518,0.0003
221484,51,2.99070912,1904,54,18.07,7.522192467749119,-25.977455776929855,0.021459123,0.2,0.225341796875,1070,0.8901059031486511,-0.025773148277949076,2.6632449626922607,0.921486496925354,0.0003
223532,52,0.9707401900000001,1942,54,20.93,3.64571127332747,-25.96086769104004,0.026938193,0.2,0.304638671875,1080,0.8884919881820679,-0.015822810004465282,1.9940022230148315,0.9620698094367981,0.0003
225580,53,1.57512445,1982,54,20.48,11.084779359400272,-25.916301769018173,0.022274379,0.2,0.253466796875,1090,0.8869277238845825,-0.032277727191103625,2.130270481109619,0.907772958278656,0.0003
227628,54,1.9820237399999996,2022,54,19.89,8.742599635571242,-25.914889907836915,0.021500908,0.2,0.218994140625,1100,0.8870534896850586,-0.02626724994916003,2.35475754737854,0.9194509387016296,0.0003
229676,55,2.33581167,2062,54,20.3,8.625834387168288,-25.884773898124696,0.020349316,0.2,0.239404296875,1110,0.8865537643432617,-0.022853838599985465,4.04309606552124,0.9287549257278442,0.0003
231724,56,2.9444369600000004,2101,54,20.76,8.076575524359942,-25.87229362130165,0.023767632,0.2,0.246044921875,1120,0.8851512670516968,-0.028934498855960555,4.892024993896484,0.9185315370559692,0.0003
233772,57,2.9539042099999993,2141,54,19.42,4.908440294489265,-25.8085838496685,0.027636815,0.2,0.326416015625,1130,0.8814724087715149,-0.02840978927561082,1.5575754642486572,0.9504600167274475,0.0003
235820,58,2.75296515,2180,54,18.64,4.951312320679426,-25.762177073955534,0.023890253,0.2,0.275341796875,1140,0.8810818791389465,-0.02337106194900116,1.9953727722167969,0.9423860907554626,0.0003
